175,wagmimonkeez #175,bg_acid-3.78%,body_black-7.78%,costume_cowboy-2.67%,face_pink-19.78%,eyes_angry-14.89%,head_cap_super-1.33%,gorilla_grin-2.67%,tech_gogglesed-2.67%,earring_gold-13.11%,dollar_chain-11.11%,1,[Rank: 1 => 7.98%],https://ipfs.io/ipfs/Qma6MfHicY7xuQJbaECvtxsgwnwzTYeYyV358NS8fc1Ci6
425,wagmimonkeez #425,bg_teal-3.11%,body_yellow-6.67%,costume_police-1.78%,faceadioactive-18.89%,eyes_blue-22.67%,head_cap_24-2.67%,snorkel_pipe_yellow-2.67%,wacky_eyes-1.56%,moneyain-10.00%,dollar_chain-11.11%,2,[Rank: 2 => 8.11%],https://ipfs.io/ipfs/Qmca4preezbxNmRB8iFfiQ5vusYqDgW3y8rey3sbR9tt6P
217,wagmimonkeez #217,bg_orange3-2.67%,body_natural-7.33%,costume_trainer_back-4.44%,faceadioactive-18.89%,eyes_angry-14.89%,head_turkish-1.56%,pipe-4.89%,industrial_glassesed-4.22%,earring_gold-13.11%,dollar_chain-11.11%,3,[Rank: 3 => 8.31%],https://ipfs.io/ipfs/QmdZ996scfnKZuX4Z4J95o7c55H8mnyZQjnoLjgzadyLaP
462,wagmimonkeez #462,bg_teal_blue-3.33%,body_white-5.78%,costume_soviet-4.00%,face_pink-19.78%,eyes_blue-22.67%,headabbit-0.67%,rockon_scepter-4.44%,industrial_glasses_green-2.00%,moneyain-10.00%,dollar_chain-11.11%,4,[Rank: 4 => 8.38%],https://ipfs.io/ipfs/QmVszXTwc5k1igUEhLKxQjAqhMbmexqgymbNVtpuHUYTxy
436,wagmimonkeez #436,bg_convict-4.22%,body_green-7.56%,costume_king-3.11%,face_skin-17.33%,eyes_blue-22.67%,head_saylor-1.33%,cigarette-3.56%,face_paint_blue-3.11%,moneyain-10.00%,dollar_chain-11.11%,5,[Rank: 5 => 8.40%],https://ipfs.io/ipfs/QmZoWmXcTJ9zDQYE6K5EQwQAkK8SmrWDxiivT65tDgEXzH
493,wagmimonkeez #493,bg_pink-3.78%,body_tiger-6.89%,costume_tshirt_green-3.33%,face_skin-17.33%,eyes_purple-22.67%,head_party_hatainbow-1.56%,party_horn_purple-4.67%,laser_eyes_static_electric-2.67%,moneyain-10.00%,dollar_chain-11.11%,6,[Rank: 6 => 8.40%],https://ipfs.io/ipfs/QmNLkvBWUmu5JTuNqv7h7Msi5NLFgPyyJ4ykvsB5aUx7bW
7,wagmimonkeez #7,bg_yellow3-4.00%,body_natural-7.33%,,face_pink-19.78%,eyes_angry-14.89%,head_corporate-0.67%,laptop_banana-4.00%,heart_glasses-3.11%,moneyain-10.00%,dollar_chain-11.11%,7,[Rank: 7 => 8.42%],https://ipfs.io/ipfs/QmVXYCStLHXDib3MognCdebNEULqiSrS61ffZJFuiZtzCK
478,wagmimonkeez #478,bg_teal-3.11%,body_grey-5.11%,costume_corporate-3.56%,face_skin-17.33%,eyes_normal-21.56%,head_afro-2.00%,vampire_teeth-4.00%,snorkle_goggles-1.56%,double_earring-14.22%,bitcoin_chain-12.44%,8,[Rank: 8 => 8.49%],https://ipfs.io/ipfs/QmcvQwYuTbcA7YpaMu98PqjGD7kgUx7SxvgDQY7KuGMEMH
447,wagmimonkeez #447,bg_teal_blue-3.33%,body_fluorescent-9.33%,costume_kimono-2.22%,face_zombie-21.56%,eyes_normal-21.56%,head_cowboy_blue-1.11%,luna_laptop-2.44%,thug_glasses-2.44%,moneyain-10.00%,dollar_chain-11.11%,9,[Rank: 9 => 8.51%],https://ipfs.io/ipfs/QmdaiujSVGCbLCEYnsoYm6Sqm4bzFH52X7GmT9GJK5bsDq
487,wagmimonkeez #487,bg_teal-3.11%,body_grey-5.11%,costume_trainer_back-4.44%,face_blue-22.44%,eyesed-18.22%,head_boyscout-1.56%,laser_sworded-3.11%,android_eye-1.78%,double_earring-14.22%,dollar_chain-11.11%,10,[Rank: 10 => 8.51%],https://ipfs.io/ipfs/QmcE6EGXzgbRoq69dR17g5WFsQVhXegNtrh241NSEC4nVo
324,wagmimonkeez #324,bg_cream-3.33%,body_green-7.56%,costume_jacket_leather-3.33%,faceadioactive-18.89%,eyes_normal-21.56%,,snorjel_pipe_orange-2.89%,nerd_glasses-2.22%,moneyain-10.00%,dollar_chain-11.11%,11,[Rank: 11 => 8.62%],https://ipfs.io/ipfs/QmXcADSFb2cZfBPRtGKMiFytXrMYmxzcuPuycgi8GgRQHT
198,wagmimonkeez #198,bg_blue_3-4.44%,body_tiger-6.89%,costume_ponchoed_r-4.00%,faceadioactive-18.89%,eyesed-18.22%,head_birthday_hat-1.56%,snorkel_pipe_yellow-2.67%,sunglasses-3.11%,double_earring-14.22%,bitcoin_chain-12.44%,12,[Rank: 12 => 8.64%],https://ipfs.io/ipfs/QmPYL7v6r6XNhrARnGjd6Fpb3VDH9Mobo1vfmC7nuFYfnu
373,wagmimonkeez #373,bg_yellow4-3.56%,body_shaved-7.11%,costume_soviet-4.00%,faceadioactive-18.89%,eyes_blue-22.67%,head_yellow_mohawk-1.78%,snorjel_pipe_orange-2.89%,laser_eyes_static_fire-3.33%,moneyain-10.00%,bitcoin_chain-12.44%,13,[Rank: 13 => 8.67%],https://ipfs.io/ipfs/QmPRm2n9f7CgnVJ5zwp6WUaWuUpoGfFzPEAf71UUYsdnu5
